geo_id,metro_name,state,PC1,PC2,PC3,median_income
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Tennessee,-24.65812086,-37.34101166,-1.121798003,66347
32780,"Medford, OR",Oregon,-3.783407284,-34.99263652,2.787754281,53412
11500,"Anniston-Oxford, AL",Alabama,-2.213127699,-32.19641221,0.727725748,47255
24740,"Greenville, MS",Mississippi,-1.308614662,-31.16988898,-0.086221576,29705
10700,"Albertville, AL",Alabama,-1.893639257,-32.12902075,0.721266592,45983
17220,"Clarksburg, WV",West Virginia,-1.908463052,-32.22750141,1.19757321,51552
34940,"Naples-Marco Island, FL",Florida,-6.162484633,-37.63608563,5.041907094,69653
28020,"Kalamazoo-Portage, MI",Michigan,-4.258962199,-33.44268439,1.598001931,56511
32820,"Memphis, TN-MS-AR",Arkansas,-17.95464728,-34.0522963,-1.72344352,53209
33700,"Modesto, CA",California,-7.497682649,-35.85951204,2.374267015,60704
30060,"Lebanon, MO",Missouri,-1.122012424,-31.73169099,0.801253072,47257
34460,"Mount Sterling, KY",Kentucky,-1.260000275,-31.74549426,0.633222677,44688
30460,"Lexington-Fayette, KY",Kentucky,-7.530102955,-34.27704009,1.350222127,58685
12140,"Auburn, IN",Indiana,-1.292061718,-32.45766555,1.552297451,56421
19220,"Danville, KY",Kentucky,-1.401837654,-32.05659919,0.955314857,44779
49020,"Winchester, VA-WV",Virginia,-2.66666167,-34.7462849,3.210078395,67072
42340,"Savannah, GA",Georgia,-5.944720779,-34.77707543,1.924675104,59459
49180,"Winston-Salem, NC",North Carolina,-9.364351643,-33.7715309,-0.445483762,50774
27420,"Jamestown, ND",North Dakota,-1.094451225,-32.67785609,1.94484196,57674
36837,"Ottawa, IL",Illinois,-2.676332996,-32.57174304,1.413717249,58160
32540,"McAlester, OK",Oklahoma,-1.330667707,-32.13166224,0.90516315,46784
49080,"Winnemucca, NV",Nevada,-1.131566166,-33.86779517,2.643030054,67756
42460,"Scottsboro, AL",Alabama,-1.312630192,-31.48236029,0.421709494,41769
43420,"Sierra Vista-Douglas, AZ",Arizona,-2.471765962,-33.0196074,1.184756646,49260
44900,"Summerville, GA",Georgia,-0.927178762,-30.98544028,0.045541768,36807
48460,"West Plains, MO",Missouri,-1.175720349,-31.49202804,0.434118761,38357
21220,"Elko, NV",Nevada,-1.684173705,-34.72705961,3.0915486,80725
38940,"Port St. Lucie, FL",Florida,-6.87885947,-35.13522853,2.009915829,55153
16100,"Carlsbad-Artesia, NM",New Mexico,-1.616996867,-33.56958869,2.199072114,65328
29980,"Lawrenceburg, TN",Tennessee,-1.206913515,-31.71159883,0.684520078,43614
15020,"Brookhaven, MS",Mississippi,-1.135895931,-31.8108304,0.676576075,42606
39780,"Red Bluff, CA",California,-1.711395758,-33.50545411,2.045164746,44514
23580,"Gainesville, GA",Georgia,-3.290796717,-34.43225707,2.290669449,62984
34900,"Napa, CA",California,-3.319138707,-40.65104151,9.12533396,88596
40060,"Richmond, VA",Virginia,-17.11136621,-36.11225364,1.188394078,68529
47780,"Washington, IN",Indiana,-1.13206753,-32.11785988,1.22062853,53629
44020,"Spirit Lake, IA",Iowa,-1.136809336,-33.74716191,2.973872252,59969
48020,"Watertown-Fort Atkinson, WI",Wisconsin,-1.94857421,-33.71365303,2.695536183,66291
14020,"Bloomington, IN",Indiana,-3.142522523,-33.68656557,1.728705422,49798
20500,"Durham-Chapel Hill, NC",North Carolina,-9.23367824,-35.35247181,1.915479823,62289
14720,"Breckenridge, CO",Colorado,-1.804036355,-38.86758071,7.818468779,79277
31940,"Marinette, WI-MI",Michigan,-1.599044623,-32.0427841,1.068398511,48933
26540,"Huntington, IN",Indiana,-1.180798233,-31.92160998,1.361729408,53632
31980,"Marion, IN",Indiana,-1.562969642,-31.56810857,0.747381995,44356
32940,"Meridian, MS",Mississippi,-2.043912421,-31.88426851,0.326443545,41107
28420,"Kennewick-Richland, WA",Washington,-4.475848684,-35.10270357,2.213758816,67310
44300,"State College, PA",Pennsylvania,-3.103401838,-34.64066859,3.062470797,60403
34180,"Moses Lake, WA",Washington,-2.029011832,-33.39123483,1.357422877,55556
24460,"Great Bend, KS",Kansas,-1.049839544,-31.50446574,0.930759982,49723
37140,"Paducah, KY-IL",Illinois,-2.002408379,-32.32738447,0.972374784,46584
41940,"San Jose-Sunnyvale-Santa Clara, CA",California,-27.22088486,-45.9148693,16.10224506,122478
13260,"Bedford, IN",Indiana,-1.294796839,-32.14407786,1.264515656,53610
18820,"Crawfordsville, IN",Indiana,-1.2124174,-32.11807196,1.472551026,55522
42900,"Seneca Falls, NY",New York,-1.208817283,-32.23992405,1.574407326,54545
16820,"Charlottesville, VA",Virginia,-3.914947426,-36.24193157,4.419149539,72697
13060,"Bay City, TX",Texas,-1.249506506,-32.36465549,1.234560544,48913
14300,"Bonham, TX",Texas,-1.209369216,-32.54119409,1.501655676,54648
42140,"Santa Fe, NM",New Mexico,-3.02534304,-35.62028219,3.753974812,61200
39340,"Provo-Orem-Lehi, UT",Utah,-8.054788263,-36.48815139,2.555457645,74387
20420,"Durango, CO",Colorado,-1.914599684,-36.73292381,5.151787562,68685
35020,"Natchez, MS-LA",Louisiana,-1.342471989,-31.14876646,-0.064098295,30239
45620,"Thomasville, GA",Georgia,-1.410894574,-32.80548189,1.402157518,43740
14100,"Bloomsburg-Berwick, PA",Pennsylvania,-1.881101338,-32.65697136,1.664502303,51745
40980,"Saginaw, MI",Michigan,-3.224841225,-32.26273804,0.789654065,48000
35460,"Newport, TN",Tennessee,-1.128527231,-31.48789367,0.442142524,36716
36820,"Oskaloosa, IA",Iowa,-1.014673504,-31.79164885,1.290266171,54825
22260,"Fergus Falls, MN",Minnesota,-1.60290996,-33.16023827,2.191543923,58682
21060,"Elizabethtown, KY",Kentucky,-2.752055816,-33.22979793,1.398395484,54132
22620,"Forrest City, AR",Arkansas,-0.988601891,-31.03747739,-0.069675216,35348
47380,"Waco, TX",Texas,-4.237833795,-33.13773758,0.795690908,49077
11860,"Atchison, KS",Kansas,-0.913700507,-31.57030192,1.086503496,50439
19340,"Davenport-Moline-Rock Island, IA-IL",Illinois,-5.653061597,-33.10615107,1.028372758,58531
40380,"Rochester, NY",New York,-14.60356071,-34.0630823,0.215121453,60102
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Florida,-79.39467109,-35.81749211,-6.268765126,56775
27060,"Ithaca, NY",New York,-2.454268225,-34.83555487,3.350293752,60240
49300,"Wooster, OH",Ohio,-2.228022182,-32.77202089,1.538400963,58300
27620,"Jefferson City, MO",Missouri,-2.676883029,-32.76965711,1.405326035,59186
23660,"Galesburg, IL",Illinois,-1.345841934,-31.31776351,0.646196052,44129
33980,"Morehead City, NC",North Carolina,-1.859712468,-34.03285777,2.689636479,57194
20060,"Douglas, GA",Georgia,-1.296265091,-31.37066085,0.003830604,40423
32460,"Mayfield, KY",Kentucky,-1.161848712,-31.71485136,0.640523057,44043
22500,"Florence, SC",South Carolina,-3.356335597,-32.40642223,0.235902383,44114
12300,"Augusta-Waterville, ME",Maine,-2.440967039,-33.09034298,1.811490543,55365
15980,"Cape Coral-Fort Myers, FL",Florida,-10.41593376,-35.70369584,1.461913027,57832
35380,"New Orleans-Metairie, LA",Louisiana,-17.19541358,-34.28931632,-0.087533113,53084
28380,"Kennett, MO",Missouri,-1.047051324,-30.92677496,0.001637393,36380
21980,"Fallon, NV",Nevada,-1.155473196,-33.41872439,2.358498905,57824
24940,"Greenwood, SC",South Carolina,-1.672742148,-32.12590336,0.905125113,42336
48900,"Wilmington, NC",North Carolina,-4.758491161,-34.99123869,2.44430011,55265
37500,"Paragould, AR",Arkansas,-1.263042587,-32.03702073,0.858710906,47056
20100,"Dover, DE",Delaware,-3.186241136,-34.81629466,2.673367,60910
36420,"Oklahoma City, OK",Oklahoma,-18.92127554,-37.09721015,-3.150816139,59084
33940,"Montrose, CO",Colorado,-1.49401385,-34.06260833,2.813895056,51647
34340,"Mount Airy, NC",North Carolina,-1.644626707,-31.99008142,0.701653147,43597
18260,"Cookeville, TN",Tennessee,-2.177692031,-32.48670585,0.873021071,41913
10180,"Abilene, TX",Texas,-2.97108816,-32.98710631,1.099609057,52511
23140,"Frankfort, IN",Indiana,-1.115931399,-31.93825715,1.348382575,54286
49260,"Woodward, OK",Oklahoma,-1.100750763,-32.60273691,1.609925079,59001
18900,"Crossville, TN",Tennessee,-1.499161685,-32.53986856,1.350627584,45958
36500,"Olympia-Lacey-Tumwater, WA",Washington,-4.676454623,-36.56307202,3.927384944,72003
48260,"Weirton-Steubenville, WV-OH",Ohio,-2.221093095,-31.55757697,0.709109154,47314
49340,"Worcester, MA",Massachusetts,-12.90160752,-35.07198589,3.100985078,73408
38180,"Pierre, SD",South Dakota,-1.116502658,-33.16985715,2.296984073,65712
35440,"Newport, OR",Oregon,-1.572571318,-33.89959419,2.852552625,47882
19820,"Detroit-Warren-Dearborn, MI",Michigan,-55.25525121,-35.753779,-6.559197555,60984
16380,"Celina, OH",Ohio,-1.261342083,-32.55083805,1.87602509,62952
